Trial,Condition,Correct,RT
0,2,1,0.361
1,1,0,0.51
2,1,0,1.28
3,1,1,0.372
4,1,1,0.643
5,2,1,0.411
6,2,1,0.344
7,2,1,0.622
8,1,0,0.446
9,1,0,0.548
10,2,1,0.563
11,2,1,0.995
12,1,1,0.343
13,1,0,0.736
14,2,1,0.561
15,2,1,0.432
16,1,0,0.618
17,2,1,0.367
18,2,0,0.682
19,2,1,0.412
20,1,0,1.013
21,1,1,0.456
22,1,1,0.616
23,2,1,0.389
24,1,1,0.742
25,1,1,0.384
26,1,0,0.4
27,1,1,0.714
28,2,1,0.419
29,2,1,0.37
30,2,1,0.39
31,1,1,0.393
32,2,1,0.473
33,2,0,0.415
34,1,1,0.652
35,1,1,0.835
36,1,0,0.406
37,1,0,0.424
38,2,1,0.379
39,2,1,0.435
40,2,1,0.535
41,1,1,0.59
42,2,0,1.006
43,1,1,0.648
44,1,1,0.554
45,2,1,0.339
46,1,0,0.398
47,1,0,1.341
48,2,1,0.425
49,2,1,0.421
50,1,1,0.424
51,1,1,0.478
52,1,1,0.492
53,1,1,0.348
54,1,1,0.367
55,2,1,0.482
56,2,1,0.439
57,1,1,0.495
58,2,1,0.917
59,1,1,0.554
60,2,1,0.353
61,2,1,0.352
62,1,0,0.393
63,1,1,0.622
64,2,1,0.437
65,2,1,0.486
66,2,1,0.498
67,2,1,0.468
68,1,0,0.494
69,2,1,0.339
70,1,0,0.963
71,2,1,0.5
72,1,0,0.413
73,1,1,0.505
74,2,1,0.33
75,2,1,0.376
76,2,1,0.627
77,1,0,0.379
78,2,1,0.383
79,1,1,0.519
80,2,1,0.385
81,1,1,0.339
82,2,1,0.662
83,1,1,0.352
84,1,1,0.646
85,1,1,0.501
86,2,1,0.551
87,2,1,0.516
88,1,1,0.434
89,2,1,0.541
90,2,1,0.407
91,2,1,0.477
92,2,1,0.397
93,2,0,0.389
94,1,1,0.394
95,1,1,0.64
96,1,1,0.436
97,1,0,0.477
98,1,1,0.54
99,1,1,0.446
100,2,1,0.346
101,1,1,0.511
102,2,1,0.371
103,2,0,0.343
104,1,1,0.426
105,1,0,0.488
106,1,0,0.358
107,2,1,0.424
108,2,1,0.39
109,1,0,0.798
110,1,1,0.441
111,2,1,0.342
112,1,1,0.788
113,1,1,0.418
114,2,1,0.616
115,1,1,0.56
116,2,1,0.451
